lat,lon,Erosivity_IMERG_V06,Error_Prediction,Corrected_Erosivity
5,-70,8752.23,-185.6972805053135,8937.927280505313
25,90,8261.463,-2468.852448142633,10730.315448142632
0,-65,7581.57,-1999.8554030833816,9581.425403083382
-5,-60,7503.9785,-2250.6666573607886,9754.645157360788
-10,-55,4975.353,-3608.3262868210136,8583.679286821014
20,80,4493.6416,-46.88288568783834,4540.524485687838
0,20,4373.1294,-2890.184282541936,7263.313682541936
28,85,3997.8364,-1603.5313130920124,5601.367713092012
22,85,3713.1938,-1878.3520059002503,5591.54580590025
20,105,3484.4045,-2961.954745459864,6446.359245459864
-30,-55,3463.9077,-3869.777416357371,7333.685116357371
-10,-65,3360.8257,-2293.284025843087,5654.109725843087
-22,-58,3254.4097,-4057.494630412554,7311.904330412554
-15,130,3241.5964,-2939.955234391068,6181.551634391068
-15,-50,3160.1667,-3638.992161545381,6799.158861545381
15,75,3130.4607,-2505.230725592066,5635.691425592066
-5,20,3038.7603,-3650.12224293148,6688.88254293148
-12,-60,2956.91,-2738.297667277568,5695.207667277567
-25,-60,2535.8027,-3768.168261809828,6303.970961809828
-28,-60,2519.6482,-4097.614953600992,6617.263153600992
25,85,2395.1033,-1351.286575864779,3746.3898758647792
5,15,2356.8955,-4397.879065514998,6754.774565514997
-25,-50,2319.8083,-3559.74218375128,5879.55048375128
-20,-55,2293.958,-4793.999622058288,7087.957622058288
30,-85,2214.3972,-7256.429701245255,9470.826901245255
-15,-60,2115.0232,-2775.6008886343584,4890.6240886343585
-18,145,2097.9932,-3047.8448022541675,5145.838002254168
-10,30,2046.9807,-3251.424301932662,5298.405001932662
25,75,2030.343,-899.1134539736714,2929.4564539736716
35,-95,1991.6492,-4214.747631871889,6206.396831871889
30,120,1987.3276,-1814.7911234327737,3802.1187234327735
15,100,1965.7015,-2311.1398599401696,4276.841359940169
10,20,1961.0516,-2517.1315978286325,4478.183197828633
-10,25,1837.3726,-3909.052784139952,5746.425384139952
35,-90,1740.7892,-4631.314650947547,6372.1038509475475
8,35,1717.3898,-3380.74813556914,5098.13793556914
5,30,1637.7778,-3771.6268384956834,5409.404638495684
-18,-62,1551.0793,-2517.9460729125785,4069.025372912579
12,35,1537.9233,-2893.5502006619845,4431.473500661985
30,105,1415.4678,-1975.676541953596,3391.144341953596
-5,30,1213.1227,-4664.18770960947,5877.31040960947
10,30,1173.6234,-2467.589114586716,3641.2125145867158
-15,30,1153.0383,-2500.214420742821,3653.252720742821
40,-85,1051.309,-2642.546891555293,3693.855891555293
47,8,1038.9818,-246.91552261274245,1285.8973226127425
25,100,985.94946,-2020.7040145809683,3006.6534745809686
0,30,933.6905,-4258.131200281224,5191.8217002812235
20,-100,879.9844,-2520.598400100825,3400.582800100825
-20,140,873.0611,-1356.635709239108,2229.696809239108
-30,-65,822.05347,-2185.364858289693,3007.418328289693
45,5,772.8805,-431.8315224399507,1204.7120224399507
-2,35,744.31665,-5091.709314955179,5836.025964955179
-8,35,712.0978,-2727.2225514650486,3439.3203514650486
30,-100,627.53815,-2532.949606963365,3160.487756963365
2,35,625.15845,-3542.575315744012,4167.733765744012
28,-100,563.3499,-2408.2968449475693,2971.6467449475695
48,25,540.9793,-203.83387896703803,744.813178967038
48,15,535.09595,-346.91513514451293,882.0110851445129
45,-75,531.99756,-1265.4055523968757,1797.4031123968757
-20,130,477.37442,-1237.5397799257055,1714.9141999257054
50,-80,466.48526,-450.2103776237127,916.6956376237126
50,10,454.30164,8.069876806677735,446.2317631933223
-20,135,439.68396,-1128.2772910038937,1567.9612510038937
50,20,401.83188,-15.527363002707444,417.35924300270744
52,30,392.0082,-23.95341361675624,415.9616136167562
-22,145,391.1516,-1533.315048744159,1924.4666487441589
-20,-65,380.24197,-818.2368499840634,1198.4788199840634
32,95,370.51797,-406.2100405046078,776.7280105046077
35,110,362.1189,-544.4908395714048,906.6097395714048
45,-100,346.27136,-1110.9080659901265,1457.1794259901264
45,20,326.8632,-340.048233979264,666.9114339792641
25,-105,319.92148,-440.6942943335432,760.6157743335432
30,70,300.57114,-1304.4562920461692,1605.0274320461692
52,20,286.98053,-86.21151092216238,373.1920409221624
-20,25,269.33374,-1411.1396538716394,1680.4733938716395
-26,145,268.94382,-1045.585471452806,1314.5292914528059
45,120,242.70206,-505.4664538866877,748.1685138866877
46,30,235.75922,-515.0494674352227,750.8086874352227
44,25,231.6484,-361.6445862659816,593.2929862659817
50,120,222.61444,-323.66429195531146,546.2787319553115
55,-120,201.86664,-321.3858066205014,523.2524466205014
15,20,192.57866,-887.8702709313152,1080.4489309313153
-30,25,173.739,-1214.192825182961,1387.9318251829611
40,-105,171.04475,-793.6678265940643,964.7125765940643
55,80,155.84248,-117.3720538183538,273.2145338183538
-25,130,131.1977,-762.4008962653982,893.5985962653981
-25,140,120.72656,-452.2795103639633,573.0060703639633
32,-105,115.31381,-603.6173159398985,718.9311259398985
35,75,106.03061,-470.0128745834624,576.0434845834624
38,100,81.92672,-231.20131875722743,313.12803875722744
34,90,80.814125,-214.41747364180864,295.23159864180866
50,-110,78.842514,-409.9030136896126,488.7455276896126
-25,20,77.02868,-752.5260654437279,829.5547454437279
-30,140,46.161846,-244.40366094148084,290.56550694148086
-25,135,45.165485,-529.9484484267608,575.1139334267608
35,-110,37.792805,-592.5728653107068,630.3656703107068
-30,130,31.023155,-622.8702462720738,653.8934012720738
36,95,26.761614,43.49058693029239,-16.728972930292386
40,70,18.323008,-908.5176711727144,926.8406791727143
40,105,17.319857,-72.84202217542946,90.16187917542946
